ConnectorDisplayName,ConnectorName,ConnectorType,Date,Direction,ForcedTls,MsgCount,PercentageNoTls,PercentageTls1,PercentageTls11,PercentageTls12
"From the internet without a connector","NO CONNECTOR","No Connector","2021-05-01","Inbound","False","1","0","0","0","100"
"From the internet without a connector","NO CONNECTOR","No Connector","2021-05-04","Inbound","False","2","0","0","0","100"
"From the internet without a connector","NO CONNECTOR","No Connector","2021-05-09","Inbound","False","2","0","0","0","100"
"From the internet without a connector","NO CONNECTOR","No Connector","2021-05-11","Inbound","False","2","0","0","0","100"
"From the internet without a connector","NO CONNECTOR","No Connector","2021-05-16","Inbound","False","2","0","0","0","100"
"From the internet without a connector","NO CONNECTOR","No Connector","2021-05-18","Inbound","False","2","0","0","0","100"
"From the internet without a connector","NO CONNECTOR","No Connector","2021-05-23","Inbound","False","2","0","0","0","100"
"From the internet without a connector","NO CONNECTOR","No Connector","2021-05-25","Inbound","False","2","0","0","0","100"
"From the internet without a connector","NO CONNECTOR","No Connector","2021-05-30","Inbound","False","2","0","0","0","100"
"From the internet without a connector","NO CONNECTOR","No Connector","2021-06-01","Inbound","False","2","0","0","0","100"
"From the internet without a connector","NO CONNECTOR","No Connector","2021-06-06","Inbound","False","2","0","0","0","100"
"From the internet without a connector","NO CONNECTOR","No Connector","2021-06-10","Inbound","False","1","0","0","0","100"
"From the internet without a connector","NO CONNECTOR","No Connector","2021-06-13","Inbound","False","2","0","0","0","100"
"From the internet without a connector","NO CONNECTOR","No Connector","2021-06-15","Inbound","False","2","0","0","0","100"
"From the internet without a connector","NO CONNECTOR","No Connector","2021-06-19","Inbound","False","1","0","0","0","100"
"From the internet without a connector","NO CONNECTOR","No Connector","2021-06-20","Inbound","False","2","0","0","0","100"
"From the internet without a connector","NO CONNECTOR","No Connector","2021-06-22","Inbound","False","3","0","0","0","100"
"From the internet without a connector","NO CONNECTOR","No Connector","2021-06-27","Inbound","False","2","0","0","0","100"
"From the internet without a connector","NO CONNECTOR","No Connector","2021-06-29","Inbound","False","2","0","0","0","100"
"From the internet without a connector","NO CONNECTOR","No Connector","2021-07-02","Inbound","False","3","0","0","0","100"
"From the internet without a connector","NO CONNECTOR","No Connector","2021-07-04","Inbound","False","2","0","0","0","100"